,fid,gaul_code,iso3_df_m,mean,name,region,subregion,iso3_df_mms,min,max,stdDev
0,266.0,271.0,ZWE,1.10815217542,Zimbabwe,Africa,Eastern Africa,ZWE,0.00296759010752,8.52988423641,0.482435190173
1,135.0,137.0,KWT,0.0406664188216,Kuwait,Asia,Western Asia,KWT,0.0,1.46251055012,0.0691577087672
2,4.0,4.0,DZA,0.688370458812,Algeria,Africa,Northern Africa,DZA,0.0,9.07937065886,0.461094573123
3,6.0,6.0,SDN,0.233097929224,Sudan,Africa,Northern Africa,SDN,0.0,3.03546295391,0.135116985018
4,270.0,40760.0,,0.0654309785336,Hala'ib triangle,Africa,Northern Africa,,0.0,0.419072726357,0.0423893759578
5,140.0,142.0,LSO,1.92014312848,Lesotho,Africa,Southern Africa,LSO,0.00611532859773,28.568084969,1.43982980064
6,8.0,8.0,AGO,0.987429736079,Angola,Africa,Middle Africa,AGO,0.0,7.56752733503,0.395585415893
7,272.0,40765.0,EGY,0.377685017497,Egypt,Africa,Northern Africa,EGY,0.0,5.2578248541,0.226465298465
8,141.0,144.0,LBR,0.975488017895,Liberia,Africa,Western Africa,LBR,0.00704271851062,3.10682151663,0.278617349618
9,142.0,145.0,LBY,0.480061360693,Libya,Africa,Northern Africa,LBY,0.0,4.90426093654,0.392253817119
10,274.0,61013.0,,0.390935400347,Ilemi triangle,Africa,Northern Africa,,0.0336907108711,1.51840775169,0.151343544567
11,276.0,74582.0,,0.545422258064,Kafia Kenji,Africa,Northern Africa,,0.167103352724,1.04631241235,0.128622310637
12,277.0,74583.0,,0.221853175238,Kaka,Africa,Northern Africa,,0.101303873462,0.374324116531,0.0441653184432
13,147.0,150.0,MDG,1.17160079425,Madagascar,Africa,Eastern Africa,MDG,0.00462099630269,64.5224425118,0.666904299297
14,149.0,152.0,MWI,1.59870616895,Malawi,Africa,Eastern Africa,MWI,0.0,19.2796586682,0.650189977767
15,152.0,155.0,MLI,0.222317526555,Mali,Africa,Western Africa,MLI,0.0,1.05152102034,0.157203461741
16,21.0,21.0,BHR,0.0625148241413,Bahrain,Asia,Western Asia,BHR,0.00976576108538,0.225468073922,0.0407926823371
17,156.0,159.0,MRT,0.0677616452833,Mauritania,Africa,Western Africa,MRT,0.0,1.2493147627,0.0486913513763
18,29.0,29.0,BEN,0.40055835213,Benin,Africa,Western Africa,BEN,0.00262049633488,2.17939942132,0.149865426163
19,166.0,169.0,MAR,0.656460808009,Morocco,Africa,Northern Africa,MAR,0.0,10.3647142776,0.580082752995
20,167.0,170.0,MOZ,1.05763846664,Mozambique,Africa,Eastern Africa,MOZ,0.0,8.25401795585,0.430879149726
